Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=d0ca27a97ddf91f9,엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,성남 분당구,,"운영 가능한 분 - DB관련 자격증 보유한 분 - 운영 자동화 스크립트(PowerShell, Shell, Python) 작성 가능한 분 - MongoDB, Redis에 관심 있으신 분 기타사항 - 서류 접수 이후 4주 이내로..."
https://kr.indeed.com/viewjob?jk=6bf54220da02bd6a,"Data Scientist (금융 Domain Focus), Data Platform 개발자, Azure C",성남 분당구,,이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드
https://kr.indeed.com/viewjob?jk=9211dfb5091a8cc4,SW engineer intern,서울,,"nationals with valid residential status in Korea. - Fluent in Python, shell scripts and C/C++. - Fluent in JavaScript, HTML..."
https://kr.indeed.com/viewjob?jk=e8db36eced42ee14,Python 시스템 개발 직원 채용,세종특별자치시,,"시스템개발 영상처리 & 머신러닝 시스템 개발, 통신(TCP/IP, Serial), FTP, DB 근무지역 충남 학력:대학교(2,3년), 경력:무관, 나이:무관, 성별:무관 <본 공고는 고용정보 워크넷(http..."
https://kr.indeed.com/viewjob?jk=180dac6dbe6afaed,NHN Cloud 머신러닝 연구 및 개발,성남 판교역,,"C++, Java, Python [머신러닝 서비스 개발] Job... TensorFlow, PyTorch - C++, Java, Python 공통지원자격 - 병역필 혹은 면제로 해외여행에 결격 사유가 없는 자..."
https://kr.indeed.com/viewjob?jk=7df915e1f0f86b2d,Software Architecture 설계 엔지니어,성남 분당구,"연봉 40,000,000원 - 100,000,000원",경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=9144817ca6d5abb5,[경기지역 우수중소기업 온라인 박람회],성남 분당구,,인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=bc6f3958319c0a16,데이터 사이언티스트 경력자,서울특별시,,"개발 경험 . 자연어처리/시계열 분석/머신러닝/데이터 마이닝 알고리즘 이론 및 실무 적용에 대한 깊은 이해 . Python Data & Analytics 라이브러리 경험 (NLTK, Spacy, Scikit-Learn..."
https://kr.indeed.com/viewjob?jk=fc09bd46b913c048,시스템 엔지니어링,성남 판교역,,"운영 경험 보유 - 쉘 스크립트 또는 프로그래밍 개발 스킬 보유 * Bash, PowerShell, Python, JAVA, etc * 운영 자동화/효율화 경험 보유 - 대용량 트래픽 처리를 위한 인프라 설계와 구축..."
https://kr.indeed.com/viewjob?jk=4ceae2829c89df04,Industrial AI Algorithm Researcher(Data Scientist),수원 영통구,,석사 이상 보유자(병역특례 가능)- Python 개발 경력 보유자[우대사항... 데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷...
https://kr.indeed.com/viewjob?jk=2391cbada9cf8458,[Knowledge AI R&D] 플랫폼 개발 엔지니어 모집,성남 판교역,,"조사하고 활용을 위한 기술 연구 및 도입 지원자격 학력 : 학사 이상 경력기간 : 3년 ~ 필수조건 - Python, Java 등 하나 이상의 프로그래밍 언어에 대한 이해 및 개발 경력을 가지신 분 - 프로그램 설계, 디버..."
